pickup point,last part
"""amins,c 59,rd 44,mohanagar housing project,rampura""","""rampura"""
"""kanu lal mistanno bhandar,h 105,mugdapara,sabujbag""","""sabujbag"""
"""sharma house,dhaka mawa hihgway,jatrabari""","""jatrabari"""
"""bou bazar,bou bazar rd,east hazipara,rampura""","""rampura"""
"""jak orcgid garden,h 154/7,wapda rd,khilkanan r/a,rampura""","""rampura"""
"""h 315,khilgaon gulbag rd,shantibag""","""shantibag"""
"""h 437,taltola rd,taltola,khilgaon""","""khilgaon"""
"""realiance building,h 146,rd 8,block d,basundhara r/a""","""basundhara r/a"""
"""sheiikhdi abdullah molla hihg school,shonir akhra nridhabari rd,shonir akhra""","""shonir akhra"""
"""house 4-6,road 7b,sector 9,uttara""","""uttara"""
"""bhagyakul kacchi ghor,gulsshan 2,gulshan""","""gulshan"""
"""localish cafe,block d,banasree""","""banasree"""
"""home tower shopping center ,dhaka chittagong highway""","""dhaka chittagong highway"""
"""balaka,biman bangladesh airlines hq,vvip terminal entrance,kurmitola,sector 2""","""sector 2"""
"""shornali, road 2/a, house 08, block f , banani""","""banani"""
"""fulbon restora , 328/1, salim uddin market road , senpara parbata, ahmed nagar""","""ahmed nagar"""
"""style and smile gents grooming saloon, 113, 113/a, lake circus road , dhanmondi""","""dhanmondi"""
"""fantasium, gulshan avenue , gulshan 2, gulshan""","""gulshan"""
"""iqbal center , kamal atatruk avenue , banani""","""banani"""
"""56, road 8/a , dhanmondi r /a""","""dhanmondi r /a"""
"""nill achol  , 102 , i  blocck road 5 , basundhara r/a""","""basundhara r/a"""
"""183/a, mirpur road 13 , section 10""","""section 10"""
"""aarong gulshan , tejgaon gulshan link rd""","""tejgaon gulshan link rd"""
"""aplectrum solutions ltd  , road 18 , sector 7 , uttara""","""uttara"""
"""al hayatt medical centre , east nakhalpara , tejgaon""","""tejgaon"""
"""banglar mishtisweets of bengal , banani""","""banani"""
"""h 12/d , rd 17 , block g , basundhara r/a""","""basundhara r/a"""
"""square hospital ltd , panthapath""","""panthapath"""
"""rosher mela , h 22 , indira rd , farmgate""","""farmgate"""
"""trisha's extension & beauty zone , house 140 , road 3 , block a , niketon""","""niketon"""
"""amari dhaka ,  gulshan 2, gulshan""","""gulshan"""
"""galesia hotel & resort ltd , block  b , banani""","""banani"""
"""kuwaiti masjid , goli 6 , west nakhalpara""","""west nakhalpara"""
"""483 , south pailpara , dokhina abason , mukti housing  , moddho paikpara""","""moddho paikpara"""
"""bashabo tempu stand , bank polli road , moddho bashabo , shahjahanpur""","""shahjahanpur"""
"""h k 2 , joar shahara bazar rd , joar shahara""","""joar shahara"""
"""vai vai hotel & restaurant , west nakhalpara rd ,  west nakhalpara""","""west nakhalpara"""
"""block a , road 18 , house 9 , banani""","""banani"""
"""city plaza fulbaria super market ,moti sarder rd , fulbaria""","""fulbaria"""
"""nazle garden , 420 , road no. 17 , basundhara r/a""","""basundhara r/a"""
"""469 , road no. 7 , basundhara r/a""","""basundhara r/a"""
"""yellow's kitchen , barek mpllah mpr , mirpur""","""mirpur"""
"""house 53/a  , road 26 , gulshan 1 , gulshan""","""gulshan"""
"""42/5, east ahmed nagar , dhankheter mor , senpara parbata , ahmed nagar""","""ahmed nagar"""
"""tropical alauddin tower shopping complex , road 7 , sector 3 , uttara""","""uttara"""
"""nextbuy mini mart , 896 , momembag road , dokkhin shajahanpur , shhjahanpur""","""shhjahanpur"""
"""h 67 , atish dipankar rd , basabo""","""basabo"""
"""dulal tea store , section 13 , mirpur""","""mirpur"""
"""85, road 12a , dhanmondi r/a""","""dhanmondi r/a"""
"""dhanshiri  , h 3 , rd 20 , nikunja 2""","""nikunja 2"""
"""secret recipe mohakhali""","""secret recipe mohakhali"""
"""sifat tailor's . 210 , adarsha moholla road , senpara parbata , purba kazipara""","""purba kazipara"""
"""cafe tiffin box , chaya bithi'r goli , tikatuli""","""tikatuli"""
"""bottola bazar , bottola bazar , moddle begunbari , tejgaon""","""tejgaon"""
"""sanjida mansion , h 44/29 , panthapath""","""panthapath"""
"""house 2/4 , road 1 , block c , niketan , gulshan 1""","""gulshan 1"""
"""mugdapara general hospital , hazi kodom ali rd , mugdapara , sabujbag""","""sabujbag"""
"""south badda jame masjid , bazar rd , south badda""","""south badda"""
"""suzen's closet , gulshan 1 , gulshan""","""gulshan"""
"""moloya bas , h 19 . kakrail rd , kakrail""","""kakrail"""
"""amadeyr cloud ltd , road 23 , block b , banani""","""banani"""
"""bouddho mondir bus stopage , autish dipankar road , moddho bashabo , komlapur""","""komlapur"""
"""tony homeo hall , h 22/2, rd 20 , tilapara , khilgaon""","""khilgaon"""
"""emerald heights , west , dhanmondi""","""dhanmondi"""
"""chowdhury green crest , h 10 / a, green rd , dhanmondi""","""dhanmondi"""
"""city bank ltd , new air port rd""","""new air port rd"""
"""kadamtala, dhaka , bangladesh""","""bangladesh"""
"""shapla shinchon , iqbal road , mohammadpur""","""mohammadpur"""
"""mutual trust bank limited atm , sector 3 , uttara""","""uttara"""
"""doner king , sector 11, uttara""","""uttara"""
"""metro shopping mall , residential area  , dhanmondi""","""dhanmondi"""
"""89 sihrawardy avenue . road no. 11 baridhara""","""89 sihrawardy avenue . road no. 11 baridhara"""
"""2/24 , block b , babor road , mohammadpur""","""mohammadpur"""
"""dipa hotel & restaurant , dit road , malibagh rail gate , malibagh""","""malibagh"""
"""norshindi pouroshova , norshindi sadar . norshindi""","""norshindi sadar . norshindi"""
"""airport rail station""","""airport rail station"""
"""rd 12, block f, bashundhara r/a""","""bashundhara r/a"""
"""hasan lighting & decorator,sector 11,uttara""","""uttara"""
"""pretex,sector 4,uttara""","""uttara"""
"""rd 2,sector 13,uttara""","""uttara"""
"""khamar bari , khamarbari rd , farmgate""","""farmgate"""
"""prottasha super shop,sector 11,uttara""","""uttara"""
"""housed 29, avenue 1, rainkhola , mirpur 1""","""mirpur 1"""
"""terminal 2 , hazrat shahjalal international airport""","""hazrat shahjalal international airport"""
"""road no 11,block a,bashundhara r/a""","""bashundhara r/a"""
"""brac bank ltd , tejgaon gulshan link rd , niketon""","""niketon"""
"""idb bhaban , begum rokeya sharani , agargaon , dhaka""","""dhaka"""
"""sheba. xyz house 454 , road 31 , mohakhali dohs , mohakhali""","""mohakhali"""
"""bonosri e block""","""bonosri e block"""
"""thai bahn , gulshan 2, gulshan""","""gulshan"""
"""fit & fine physiotherapy centre , sector 13 , uttara""","""uttara"""
"""bagicha rd,newtown r/a,green model town""","""green model town"""
"""shuvastu nagar valley , f/2, bir uttam rafiqul islam ave , shahjadpur""","""shahjadpur"""
"""arafis dine restaurant , joynogor gov . r/a , mirpur-13""","""mirpur-13"""
"""house 41,road 13,sector 13,uttara""","""uttara"""
"""paltan model police station,vip road""","""vip road"""
"""north end coffee roasters ever care hospital , block - e, bashundhara r/a""","""bashundhara r/a"""
"""nur-nahar anika jame masjid , section 13 , mirpur""","""mirpur"""
"""bartha money exchange,gulshan 2,gulshan""","""gulshan"""
"""aloha bangladesh,residential area,dhanmondi""","""dhanmondi"""
"""raju mudi store,road no 2,block a,basundhara r/a""","""basundhara r/a"""
"""tea stall , dhaka , block e , banani""","""banani"""
"""boss host bd,539/1,w nakhalpara rd,paschim nakhalpara""","""paschim nakhalpara"""
"""house 10 , road 4 , srctor 3, uttara""","""uttara"""
"""ific bank limited,mridha bari road,shonir akhra,donia""","""donia"""
"""dbbl fast track , block f , banasree""","""banasree"""
"""baitul abrar jame masjid,bottola rd,mohakhali""","""mohakhali"""
"""nazma villa,334/7,ahmmed nagar,paikpara,senpara parbata,,shah ali bagh""","""shah ali bagh"""
"""shahin motors  , 58 , bnp bazar agargaon water tank road , taltola , poschim kafrul""","""poschim kafrul"""
"""cooper's bakery bangladesh , road 46 , gulshan 2 , gulshan""","""gulshan"""
"""rd 71,gulshan 2""","""gulshan 2"""
"""namira kitchen , h 1102 , mirpur  rd 14 , kachukhet""","""kachukhet"""
"""babul tower,184/3,ahmed nagar,habuler pukurpar,senpara parbata,ahmed nagar""","""ahmed nagar"""
"""gabtoli bus station mirpur road , abdul rafiq housing , gabtali""","""gabtali"""
"""thanda gorom,sector 3,uttara""","""uttara"""
"""kazi agrani cottage , house no. 43 , lane 2nd , chamelibagh , shantinagar""","""shantinagar"""
"""ena kingdom , 32 , girls school road dhanmindi""","""girls school road dhanmindi"""
"""bangladesh mats,sector 9,uttara""","""uttara"""
"""dbl digital , road 4 , gulshan1 , gulshan""","""gulshan"""
"""vip tower,h 51/1,pir shaheber goli,shantinagar,motijheel""","""motijheel"""
"""ismail arcade,house 27,road 14/a,dhanmondi,dhaka 1209""","""dhaka 1209"""
"""h 22 , larmini st , wari""","""wari"""
"""janata bank limited,basundhara rd,jamuna future park,basundhara r/a""","""basundhara r/a"""
"""fair world,satmasjid rd,block f,mohammadpur""","""mohammadpur"""
"""amena kutir , h 16 , rd 5 , kaderabad housing , mohammadpur""","""mohammadpur"""
"""house 41/ 27, road 3b , mohammadia housing limited , mohammadour""","""mohammadour"""
"""chirontoni,39,road 12a,dhanmondi r/a""","""dhanmondi r/a"""
"""scholastica , senior campus , line 1 , mirpur 13""","""mirpur 13"""
"""bulus centre,road 34,gulshan 1,gulshan""","""gulshan"""
"""islam pharma""","""islam pharma"""
"""bandhan , 8/5, 8/6, blockm a, lalmatia""","""lalmatia"""
"""bns haji moashin , south kafrul rpad , south kafrul , poschim kafrul""","""poschim kafrul"""
"""bondhu mahal,3 7/c,boro bag,senpara parbata,borobagh""","""borobagh"""
"""rd8 , mohakhali dohs""","""mohakhali dohs"""
"""morium beauty care , block e , banashree""","""banashree"""
"""baby shop,10,kacha bazar road,section 11""","""section 11"""
"""salam tea store , west kafrul mirpur""","""west kafrul mirpur"""
"""friends gallery,15,road 5,nikunja 2""","""nikunja 2"""
"""adda,sector 4,uttara""","""uttara"""
"""admiral height , h 18/3 , biri rd , west rajabazar""","""west rajabazar"""
"""maria bakery , culvurt rd , fakirapool""","""fakirapool"""
"""basic bank bashundhara branch,h 13,alhaz abdus salam rd,block b,basundhara r/a""","""basundhara r/a"""
"""29/16 , block c , tajmahal road , mohammadpur""","""mohammadpur"""
"""wasa,darussalam,mirpur""","""mirpur"""
"""dhaka technical bus stop , begum rokeya sarani , kazipara""","""kazipara"""
"""an ark,house 103,avenue 1,mirpur dohs,mirpur,dhaka 1216""","""dhaka 1216"""
"""banani 132/33 kv grid substation , block i""","""block i"""
"""priya sweets and bakery,h 2/b,kamalapur rd,ahmedbag,sabujbag""","""sabujbag"""
"""bangladesh bar council""","""bangladesh bar council"""
"""shohag paribagh pvt . ltd , chowdhurypara , malibagh b""","""malibagh b"""
"""sabbir engineering work shop,chadd uddan housing,mohammadpur""","""mohammadpur"""
"""sarwar garden,house 117,block b,road 6,basundhara r/a""","""basundhara r/a"""
"""rd 18,rupnagar r/a,pallabi""","""pallabi"""
"""denso filling station,mirpur rd,darussalom,darus salam""","""darus salam"""
"""plot 53/e,rd 16,block g,basundhara r/a""","""basundhara r/a"""
"""hashim toweer""","""hashim toweer"""
"""sumo tech enterprise,masjid rd,naya paltan""","""naya paltan"""
"""35,road 21,section 12""","""section 12"""
"""prottasha kindar garten school,north vasantek rd,vashantek""","""vashantek"""
"""sajun villa,h 210,lalsharai rd,kachukhet""","""kachukhet"""
"""h g 8,shahjahanpur rd,fakirapool""","""fakirapool"""
"""intraco cng station,rd 9,block a,mirpurr 12""","""mirpurr 12"""
"""afroza begum road,basundhara r/a""","""basundhara r/a"""
"""hazrat shahjalal international airport""","""hazrat shahjalal international airport"""
"""hosneara hasna villa,bosila garden city,mohammadpur""","""mohammadpur"""
"""c 22, road 3 , mohanagar housing project""","""mohanagar housing project"""
"""sheltech cascade , 92 , road 23 , banani""","""banani"""
"""tangail chamcham misti ghor , h 180 /d , goran sipahibag rd , goran""","""goran"""
"""416, road no 16 , block a , bashundhara r/a""","""bashundhara r/a"""
"""school ground , asad avenue , mohammadpur""","""mohammadpur"""
"""rd 34, pallabi""","""pallabi"""
"""354, road no.13 , basundhara r/a""","""basundhara r/a"""
"""plot 620 , road 9 , ave 2, mirpur dohs""","""mirpur dohs"""
"""monir hossain lane , gopibag, kulutola""","""kulutola"""
"""emerald bakery & cafe , road 11, block h , banani""","""banani"""
"""riceman""","""riceman"""
"""hotel dhaka golden inn , block k , banani""","""banani"""
"""setara convention hall,h 1/11,begum rokeya sarani,block b,mirpur 12""","""mirpur 12"""
"""quddus mansion 370, i blocl road 5,basundhara r/a""","""basundhara r/a"""
"""panda dumplings , hosna center , gulshan avenue""","""gulshan avenue"""
"""h ka 31,old ka 11/1,beribadh rd,nukunja 2""","""nukunja 2"""
"""37/b , road 3, block d , , bashundhara r/a""","""bashundhara r/a"""
"""milestone school & college,road 3,sector 6,uttara""","""uttara"""
"""nur automopbiles workshop,culvert rd,naya paltan""","""naya paltan"""
"""h 450/6 , rd 8 , baridhara dohs""","""baridhara dohs"""
"""a k m kniw wear ltd,dhaka aricha highway,nobinagar 1340""","""nobinagar 1340"""
"""rd 4 , dhamalkot , dhaka cantonment""","""dhaka cantonment"""
"""house 81,road 4,block i,bashundhara r/a""","""bashundhara r/a"""
"""welkin telecom infra ( bd ) private limited , road 29 , gulshan 1 , gulshan""","""gulshan"""
"""ridita's house , block c , banani""","""banani"""
"""khan steel,h 6,distillery rd,dayaganj""","""dayaganj"""
"""gme group,rd 8,niketon""","""niketon"""
"""new good life hairdressing & salon , block e, banani""","""banani"""
"""oppo , 58 , enamul haque chowdhury road , road 10 , banani""","""banani"""
"""ahsania mission cancer & general hospital,dhaka ashulia highway,sector 10,uttara""","""uttara"""
"""fx grid,sector 11,uttara""","""uttara"""
"""national heart foundation hospital & research institute , mirpur 2  main rd""","""mirpur 2  main rd"""
"""rd 79 , gulshan 2""","""gulshan 2"""
"""azimpur bus stand masjid,azimpur rd,azimpur""","""azimpur"""
"""dolonchapa,h 29,rd 17,sector 13,uttara""","""uttara"""
"""farhana pharmacy , banani dohs""","""banani dohs"""
"""d 148,road 6,mohanagar housing project,niketan""","""niketan"""
"""sheuli , road no 2 , mohakhali , gulshan""","""gulshan"""
"""bijoy ketan museum,shahid sarani,dhaka cantonment""","""dhaka cantonment"""
"""434, road no 18 , block  a , basundhara r/a""","""basundhara r/a"""
"""new castle international school , h 187 , nakhalpara rd , tejkunipara""","""tejkunipara"""
"""h 18, rd 4 , block d , banashree""","""banashree"""
"""city lab medical , j 65 , rupnagar rd , chayaneer housing society , pallabi""","""pallabi"""
"""696, hatirjheel link road , wireless , mogbazar""","""mogbazar"""
"""52, road 4 , mohanagar housing project , niketon""","""niketon"""
"""heal medix , rd 3 , shyamoli""","""shyamoli"""
"""airport rail station""","""airport rail station"""
"""bagan bari goli , rayer bazar""","""rayer bazar"""
"""kpmlapur railway station dhaka""","""kpmlapur railway station dhaka"""
"""kawla bus stop, new airport rd""","""new airport rd"""
"""city battery and tyre co , h 223, green rd""","""green rd"""
"""tea stall , muktijoddha abdul salam rd, fakirapool""","""fakirapool"""
"""redding ridye , h 658, rd 14 , adabor""","""adabor"""
"""al amin export ltd, dhaka chittagong highway , sign board , shiddhirganj , naryanganj , 1361""","""1361"""
"""tolarbag rd , jigatala""","""jigatala"""
"""gonopurtp odhidoptor jame masjid , h 15 , abdul gani rd , purana paltan""","""purana paltan"""
"""al fursan sky team international , purana paltan""","""purana paltan"""
"""shanta skymark , 18 , gulshan avenue , gulshan 1, gulshan""","""gulshan"""
"""tenement , 4, h 301/a, bashundhara rd , block e , bashundhara r/a""","""bashundhara r/a"""
"""pingus kitchen , sky view garden , shantinagar .""","""shantinagar ."""
"""188, grren roadf , dhanmondi""","""dhanmondi"""
"""airport rail station""","""airport rail station"""
"""shuvo boishakhi hair cutting saloon , nurerchala rd , nurer chala""","""nurer chala"""
"""h 75, rd 3 , mohammadi housing ltd , mohammadpur""","""mohammadpur"""
"""mutual trust bank , airport road , new airport road, kurmitola , sector 2""","""sector 2"""
"""national board of revenue , shyamoli rd , agargaon""","""agargaon"""
"""sawpna bilash , h 12/a, rd 17 , block g , bashundhara r/a""","""bashundhara r/a"""
"""bakul villa , 522 , matabbar bari sharak , uttor kafrul , purba kazipara""","""purba kazipara"""
