Unnamed: 0,Pickup Point,Pickup Area
2298,"SABBIR ENGINEERING WORK SHOP,CHADD UDDAN HOUSING,MOHAMMADPUR",Mohammadpur
2299,"SARWAR GARDEN,HOUSE 117,BLOCK B,ROAD 6,BASUNDHARA R/A",Bashundhara
2300,"RD 18,RUPNAGAR R/A,PALLABI",Pallabi
2303,"PLOT 53/E,RD 16,BLOCK G,BASUNDHARA R/A",Bashundhara
2306,"35,ROAD 21,SECTION 12",Mirpur
2309,"H G 8,SHAHJAHANPUR RD,FAKIRAPOOL",Fakirapool
2322,"HOSNEARA HASNA VILLA,BOSILA GARDEN CITY,MOHAMMADPUR",Mohammadpur
2326,"416, ROAD NO 16 , BLOCK A , BASHUNDHARA R/A",Bashundhara R/A
2327,"SCHOOL GROUND , ASAD AVENUE , MOHAMMADPUR",Mohammadpur
2328,"RD 34, PALLABI",Pallabi
2329,"354, ROAD NO.13 , BASUNDHARA R/A",Bashundhara
2330,"PLOT 620 , ROAD 9 , AVE 2, MIRPUR DOHS",Mirpur
2332,"EMERALD BAKERY & CAFE , ROAD 11, BLOCK H , BANANI",Banani
2335,"HOTEL DHAKA GOLDEN INN , BLOCK K , BANANI",Banani
2338,"QUDDUS MANSION 370, I BLOCL ROAD 5,BASUNDHARA R/A",Bashundhara
2341,"37/B , ROAD 3, BLOCK D , , BASHUNDHARA R/A",Bashundhara R/A
2342,"MILESTONE SCHOOL & COLLEGE,ROAD 3,SECTOR 6,UTTARA",Uttara
2347,"HOUSE 81,ROAD 4,BLOCK I,BASHUNDHARA R/A",Bashundhara R/A
2348,"WELKIN TELECOM INFRA ( BD ) PRIVATE LIMITED , ROAD 29 , GULSHAN 1 , GULSHAN",Gulshan
2349,"RIDITA'S HOUSE , BLOCK C , BANANI",Banani
2351,"GME GROUP,RD 8,NIKETON",Niketon
2352,"NEW GOOD LIFE HAIRDRESSING & SALON , BLOCK E, BANANI",Banani
2353,"OPPO , 58 , ENAMUL HAQUE CHOWDHURY ROAD , ROAD 10 , BANANI",Banani
2354,"AHSANIA MISSION CANCER & GENERAL HOSPITAL,DHAKA ASHULIA HIGHWAY,SECTOR 10,UTTARA",Uttara
2357,"FX GRID,SECTOR 11,UTTARA",Uttara
2362,"DOLONCHAPA,H 29,RD 17,SECTOR 13,UTTARA",Uttara
2363,"FARHANA PHARMACY , BANANI DOHS",Banani
2365,"SHEULI , ROAD NO 2 , MOHAKHALI , GULSHAN",Gulshan
2367,"434, ROAD NO 18 , BLOCK  A , BASUNDHARA R/A",Bashundhara
2370,"CITY LAB MEDICAL , J 65 , RUPNAGAR RD , CHAYANEER HOUSING SOCIETY , PALLABI",Pallabi
2372,"52, ROAD 4 , MOHANAGAR HOUSING PROJECT , NIKETON",Niketon
2394,"SHANTA SKYMARK , 18 , GULSHAN AVENUE , GULSHAN 1, GULSHAN",Gulshan
2395,"TENEMENT , 4, H 301/A, BASHUNDHARA RD , BLOCK E , BASHUNDHARA R/A",Bashundhara R/A
2409,"H 75, RD 3 , MOHAMMADI HOUSING LTD , MOHAMMADPUR",Mohammadpur
2410,"MUTUAL TRUST BANK , AIRPORT ROAD , NEW AIRPORT ROAD, KURMITOLA , SECTOR 2",Purbachal
2411,"NATIONAL BOARD OF REVENUE , SHYAMOLI RD , AGARGAON",Agargaon
2413,"SAWPNA BILASH , H 12/A, RD 17 , BLOCK G , BASHUNDHARA R/A",Bashundhara R/A
2415,"HOTEL BAMBOO INT , MATIKATA RD , MATIKATA",Matikata
