Location Name,Address,Classified Area
"693, ROAD NO. 1",Bashundhara R/A,Bashundhara
DURI ANGUL 2ND LANE,"Nababganj, Hazaribagh",Hazaribagh
SHAHID TAZUDDIN AHAMED AVENUE,"Wireless, Niketon",Niketon
"176/5/1, WEST KAFRUL","Taltola, West Kafrul",West Kafrul
"24, GREENWAY ROAD","Wireless, Moghbazar",Moghbazar
"HOUSE 17, BLOCK A",Wazuddin Road,Wazuddin Road
ISMAIL PHARMACY,"Surtaranga Rd, West Arichpur",West Arichpur
DUTCH BANGLA BANK LTD,"Kalsi Rd, Mirpur 11",Mirpur
KALOM TOWER,"H,6,RD 2, Banasree, Rampura",Banasree
"H 490, SHAHID BAKI SARAK","Taltola, Khilgaon",Khilgaon
"H 73, GREEN ROAD","Green Road, Dhaka",Green Road
JAMUNA BANK TOWER,"Block CWS (C), A K Khondkar Road, Gulshan 1",Gulshan
SHANTA VIRTUE,"Sector 4, Uttara",Uttara
TAKEOUT BANANI,"Kemal Ataturk Avenue, Banani",Banani
ASSORT NAMEER,"Road No. 2, Block D, Bashundhara R/A",Bashundhara
NORTH SOUTH UNIVERSITY,Bashundhara R/A,Bashundhara
JAPAN GARDEN CITY,"Ring Road, Mohammadpur",Mohammadpur
LE MERIDIEN DHAKA,"H 79/A, Commercial Area, New Airport Rd, Khilkhet",Khilkhet
SUMI TOWER,"Zoo Road, Section 1",Mirpur
UNITED COMMERCIAL BANK (UCB),"Namapara Road, Bottola, Khilkhet",Khilkhet
REVOLUTION ON BIKES,"RD 10, Mirpur DOHS",Mirpur
HAZARIBAGH PARK,Hazaribagh,Hazaribagh
SARKAR MEDICAL HALL,"Ibrahimpur Road, North Kafrul, Purba Kazipara",Kazipara
EXCEL ACADEMY,"11, Road 7, Dhanmondi",Dhanmondi
"1425/A, SOUTH PIRER BAGH","Mukti Housing, Dokkhon Pirerbagh",Pirerbagh
MEET 2 EAT,"NSU Road, Bashundhara R/A",Bashundhara
NAWABI VOJ,"AQP Shopping Mall, New Baily Road",New Baily Road
LOGIN TECHNOLOGIES BD LTD,"Road 7, Gulshan 1",Gulshan
UNITED COMMERCIAL BANK LIMITED ATM,"Shyamoli, Mohammadpur",Mohammadpur
INDIAN EXPRESS,"57, Shiddheswari Road",Shiddheswari
RAFIQUL HAQUE & ASSOCIATES,"Road 13, Banani",Banani
"RD 7, SECTOR 1","Sector 1, Uttara",Uttara
"HOUSE 22, ROAD 9/B","Sector 5, Uttara",Uttara
"3/10, LALMATIA BLOCK E",Lalmatia,Lalmatia
BATA MIRPUR CITY,"Section 6, Mirpur",Mirpur
FARAZY PHYSIOTHERAPY & LASER UNIT,"Sector 7, Uttara",Uttara
NARAIL AIR TRAVELS AND TOURS,"Sector 15, Uttara",Uttara
"H 70/2, NIJHUM RESIDENTIAL RD","Nijhum Residential Rd, Nijhum R/A, Hazaribagh",Hazaribagh
BAILEY ROAD OFFICERS COLONY,"Sahid Capten Mansur Ali Avenue, Wireless, Paltan",Paltan
LIVING SHYAMOLIMA,"House 33, Road 3, Shyamoli, Dhaka",Shyamoli
PANTHA PATH,Dhanmondi,Dhanmondi
