last part,Pickup Area,Pickup Point
section 12,Mirpur,"""25 , road 5 , section 12"""
mohammadpur,Mohammadpur,"""shaptak noor , adabar , mohammadpur"""
gulshan,Gulshan,"""dutch - club dhaka , gulshan 2 , gulshan"""
bashundhara r/a,Bashundhara R/A,"""sky park , 1063, d block 6 no road , block d, bashundhara r/a"""
dhanmondi,Dhanmondi,"""cafe tawa , road 15 ( new ) & 28 ( old ) , dhanmondi"""
gulshan,Gulshan,"""oromo coffee shop , gulshan 2 , gulshan"""
mirpur,Mirpur,"""dr.m.s.i.shovon , section 14 , mirpur"""
uttara,Uttara,"""kushiara ( building 11 ) , sector 18 , uttara"""
mohammadpur,Mohammadpur,"""1/2 , nurzahan road , mohammadpur"""
gulshan 1,Gulshan,"""liberty fashion wears ltd , gulshan 1"""
banani,Banani,"""chondro mollika , h 39/a , rd 27 , banani"""
mohammadpur,Mohammadpur,"""tahminaloie , h 14 , shakhertek main rd , janata housing , mohammadpur"""
dhanmondi,Dhanmondi,"""vision optics , green road , dhanmondi"""
banani,Banani,"""ya habibi , block k , banani"""
section 12,Mirpur,"""rangdhonu supermarket, begum rokeya sharani , section 12"""
mohammadpur,Mohammadpur,"""h 7/a, 8 , tikkapara rd , mohammadpur"""
motijheel,Motijheel,"""h 25/2 , kabi jasimuddin rd , motijheel"""
dhanmondi,Dhanmondi,"""manarama , 29, road 15a, dhanmondi"""
uttara,Uttara,"""taskwise ( bd ) inc , sector 4 , uttara"""
west dhanmondi,Dhanmondi,"""baitul noor mosque goli , west dhanmondi"""
dhanmondi,Dhanmondi,"""master bite , h 60, rd 27 , dhanmondi"""
section 2,Mirpur,"""abdul jalil sheik,5/b,section 2"""
gulshan 1,Gulshan,"""la torta by  m&m,gulshan 1"""
nikunja 2,Nikunja,"""h 9,rd 14,nikunja 2"""
west dhanmondi,Dhanmondi,"""university of developement,shankar,west dhanmondi"""
gulshan,Gulshan,"""shima seiki showroom,gulshan 1,gulshan"""
dhanmondi,Dhanmondi,"""furnitex limited experience center,residential area,dhanmondi"""
mirpur 2,Mirpur,"""residential building,block b,mirpur 2"""
dhanmondi,Dhanmondi,"""45,lake circus road,dhanmondi"""
dhanmondi,Dhanmondi,"""medisphere,green road, dhanmondi"""
dhanmondi,Dhanmondi,"""popular diagonistic centre ltd,residential area,dhanmondi"""
dhanmondi,Dhanmondi,"""flayer ladies tailors,residential area,dhanmondi"""
gulshan,Gulshan,"""city bank,gulshan avenue,gulshan 1,gulshan"""
basundhara r/a,Bashundhara,"""h ka 47/6,shahid abdul azij rd,block a,basundhara r/a"""
basundhara r/a,Bashundhara,"""reliance building,h 146,rd 8,block d,basundhara r/a"""
banani,Banani,"""woodhouse grill,block f,banani"""
dhanmondi,Dhanmondi,"""the great kabab factory,satmasjid road,dhanmondi"""
nikunja 2,Nikunja,"""marwa kabab and restaurant,h 2/b,rd 13,nikunja 2"""
new airport rd,Biman Bandar,"""shahjalal multi storied car parking,new airport rd"""
malibagh,Malibagh,"""baitur rahjman jame masjid , kakrail road , malibagh mor , malibagh"""
uttara,Uttara,"""academia standing english medium school , road -20 , sector -14 , uttara"""
banani,Banani,"""atroshi murid,h 19,rd 9,banani"""
uttara,Uttara,"""nilanjona , sector 18, uttara"""
west dhanmondi,Dhanmondi,"""madhubazar jame masjid , rd 10/a, west dhanmondi"""
banani,Banani,"""triple nine global , block k , banani"""
dhanmondi,Dhanmondi,"""tafa , residential area , dhanmondi"""
dhanmondi,Dhanmondi,"""zoom ambulance service in dhaka , sobhanbag , dhanmondi"""
uttara,Uttara,"""crisp! sector 13, uttara"""
mirpur 2,Mirpur,"""ave 1, block a, mirpur 2"""
gulshan,Gulshan,"""drawing school , gulshan 1 , gulshan"""
sector 2,Purbachal,"""airport road,new airport road,sector 2"""
gulshan,Gulshan,"""17, road 55, gulshan 2, gulshan"""
mohammadpur,Mohammadpur,"""h 18,rd 3,pc culture housing society,mohammadpur"""
banani,Banani,"""cooper's , 116, road 11 , banani"""
kuril,Kuril,"""computer home , jamuna future park , kuril"""
section 12,Mirpur,"""77,road 3,section 12"""
dhanmondi,Dhanmondi,"""mother and kids care,jigatola,dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""81, i block road 4, bashundhara r/a"""
gulshan,Gulshan,"""hairbox premium salon , gulshan 2, gulshan"""
uttara,Uttara,"""asif adnan ahmed , sector 4 , uttara"""
uttara,Uttara,"""asif adnan ahmed , sector 4, uttara"""
banani,Banani,"""sohel rana films media company , road 27 , block k , banani"""
bashundhara r/a,Bashundhara R/A,"""adl silhouette , block j , bashundhara r/a"""
mohammadpur,Mohammadpur,"""sarkar tower , rayer bazar ,, mohammadpur"""
mohammadpur,Mohammadpur,"""road number 7, pisciculture housing society , mohammadpur"""
bashundhara r/a,Bashundhara R/A,"""rd 6 , block b , bashundhara r/a"""
mohammadpur,Mohammadpur,"""city ladies tailors , h 35/a, rd 2, pc culture housing society , mohammadpur"""
mohammadpur,Mohammadpur,"""kazi mohiuddin , mohammadia housing society , mohammadpur"""
mohakhali,Mohakhali,"""computerized homeopathy research center , wireless  gate , mohakhali"""
dhanmondi,Dhanmondi,"""dhaka tyre battery sells, h 13, rd 5, dhanmondi"""
mohammadpur,Mohammadpur,"""0 e/6, bash bari road , mohammadpur"""
section 2,Mirpur,"""sadar ali sacholars institute , 3 4 , section 2"""
gulshan,Gulshan,"""turbocharging bangladesh limited , gulshan 1 , gulshan"""
bashundhara r/a,Bashundhara R/A,"""h 377 , bashundhara rd , block e , bashundhara r/a"""
dhanmondi,Dhanmondi,"""siddiqe, mirpur rd , dhanmondi"""
uttara,Uttara,"""sm engineering lrd,sector 11,uttara"""
mohammadpur,Mohammadpur,"""moushumis place,nabi nagar housing, mohammadpur"""
mohammadpur,Mohammadpur,"""h 14/a,rd 8,janata housing,mohammadpur"""
mohammadpur,Mohammadpur,"""red hot footwear,shyamoli,mohammadpur"""
mirpur,Mirpur,"""bikrampur auto dry cleaners 2,section 6,mirpur"""
mirpur dohs,Mirpur,"""believer compliance & sustainiblity,mirpur dohs"""
mohakhali,Mohakhali,"""10 minute school,house b 107,road 8,mohakhali dohs,mohakhali"""
uttara,Uttara,"""kolmitola 18,sector 18,uttara"""
mirpur,Mirpur,"""dewapples,rupnagar residential area,mirpur"""
mirpur,Mirpur,"""musafir tours,dohs,mirpur"""
dhanmondi,Dhanmondi,"""23/a, north circular road , dhanmondi"""
banani,Banani,"""the house sparrow tours bd,block k,banani"""
mohammadpur,Mohammadpur,"""beribadh rd,prominent housing,mohammadpur"""
malibagh,Malibagh,"""abul hotel,chowdhurypara,malibagh"""
dhanmondi,Dhanmondi,"""meena bazar,rd 27,dhanmondi"""
mohammadpur,Mohammadpur,"""alif/15,block e,zakir hossain road,mohammadpur"""
mohammadpur,Mohammadpur,"""radhunir ranna,adabor,mohammadpur"""
uttara,Uttara,"""house 32,road 12,sector 4,uttara"""
mohammadpur,Mohammadpur,"""kichukhon,shyamoli,mohammadpur"""
mohammadpur,Mohammadpur,"""h 19,rd 12,mohammadi housing society,mohammadpur"""
uttara,Uttara,"""navana rebecca teodora,house 07,road 29,sector 7,uttara"""
gulshan,Gulshan,"""united makka madina travel assistance company limited,road 90,gulshan 2,gulshan"""
panthapath,Panthapath,"""brb hospital ltd, panthapath"""
dhanmondi,Dhanmondi,"""milon's dental care , west, dhanmondi"""
uttara,Uttara,"""nandan dewan park , sector 4 , uttara"""
uttara,Uttara,"""xubisoft limited , sector 4 , uttara"""
malibagh,Malibagh,"""khandaker villa , 6/b , party house road , shantibagh, malibagh"""
gulshan,Gulshan,"""24a , road 107 , gulshan 2 , gulshan"""
kalabagan,Kalabagan,"""rabeya manzil , h 18 , lake circus , kalabagan"""
dhanmondi,Dhanmondi,"""lg - butterfly jigatola showroom , dhanmondi"""
dhanmondi,Dhanmondi,"""n.h.b 13 , foot over bridge , dhanmondi"""
uttara,Uttara,"""rd 10a, ranavola , uttara"""
mohakhali,Mohakhali,"""raowa convention hall , mohakhali"""
motijheel,Motijheel,"""hotel salimar international , station rd , motijheel"""
banani,Banani,"""hotel dhaka golden inn, block k , banani"""
basundhara r/a,Bashundhara,"""road no 2 , block a , basundhara r/a"""
panthapath,Panthapath,"""brb hospital ltd , panthapath"""
dhanmondi,Dhanmondi,"""green life medical college , green road , dhanmondi"""
mohakhali,Mohakhali,"""new  sawdia motors , rasulbag , mohakhali"""
paltan,Paltan,"""intercontinental dhaka , 1, minto road , wireless , paltan"""
dhanmondi,Dhanmondi,"""shimanto square , rd 2, dhanmondi"""
uttara,Uttara,"""bti ikebana , sector 9 , uttara"""
dhanmondi,Dhanmondi,"""assurance lobelia , residential area , dhanmondi"""
gulshan,Gulshan,"""north south road , fakirapool , gulshan"""
gulshan 1,Gulshan,"""uday tower , plot 57 & 57/a gulshan ave, gulshan 1"""
gulshan 1,Gulshan,"""eternali bliss spa , gulshan 1"""
bashundhara r/a,Bashundhara R/A,"""the park rediance , house 412, nsu , driveway , block b , bashundhara r/a"""
basundhara r/a,Bashundhara,"""h 801 , rd 24 , block f , basundhara r/a"""
mirpur,Mirpur,"""government officers quarter mosque , rupnagar residendial area , mirpur"""
mirpur,Mirpur,"""elano , dohs , mirpur"""
west dhanmondi,Dhanmondi,"""sopon hairdresser , h 115/1 , moneshwar rd , west dhanmondi"""
malibagh,Malibagh,"""kuhel , h 200 , malibag college rd , shantibagh , malibagh"""
bashundhara r/a,Bashundhara R/A,"""holy orchid , block i , bashundhara r/a"""
dhanmondi,Dhanmondi,"""suvastu akbar centre,jigatola,dhanmondi"""
dhanmondi,Dhanmondi,"""shiitake,road 2,dhanmondi"""
banani,Banani,"""cafe express,kemal ataturk avenue,banani"""
mohammadpur,Mohammadpur,"""bank,road 7,mohammadi housing society, mohammadpur"""
section 2,Mirpur,"""mirpur college road,section 2"""
west dhanmondi,Dhanmondi,"""cafe sao paulo,west dhanmondi"""
basundhara r/a,Bashundhara,"""dr fahmida zabeen-pediatric neonnatologist & endocrinologist,block e,basundhara r/a"""
gulshan,Gulshan,"""banani massage spa,gulshan 2,gulshan"""
basundhara r/a,Bashundhara,"""plot 222 , rd 6 , block b , basundhara r/a"""
dhanmondi,Dhanmondi,"""shitake,road 2,dhanmondi"""
mohammadpur,Mohammadpur,"""forld stor,adabar,mohammadpur"""
banani,Banani,"""h 13 , rd 18 , banani"""
bashundhara r/a,Bashundhara R/A,"""brobul, block j , bashundhara r/a"""
mohammadpur,Mohammadpur,"""bangladesh specialized hospital , shyamoli , mohammadpur"""
sector 13,Uttara,"""uttara kitchen,sector 13"""
banani,Banani,"""preha,h 26,rd 18,banani"""
dhanmondi,Dhanmondi,"""dental & maxillaofficial surgery,green road,dhanmondi"""
dhanmondi,Dhanmondi,"""great food , pilkhana , dhanmondi"""
mohammadpur,Mohammadpur,"""think bpo pro limited , iqbal road , mohammadpur"""
banani,Banani,"""zoan ash atelier , block d, banani"""
banani,Banani,"""rd 18 , block a , banani"""
mirpur,Mirpur,"""imran , arambag residential area  pallabi , mirpur"""
mohakhali,Mohakhali,"""h 11/1, tb  gate rd , mohakhali"""
nikunja 2,Nikunja,"""dr shamima parvin,h 13,rd 4,nikunja 2"""
uttara,Uttara,"""nayem refrigeration & works,sector 3,uttara"""
gulshan,Gulshan,"""legal reliance,gulshan 1,gulshan"""
panthapath,Panthapath,"""bread & beyond,h 20//3,panthapath"""
dhanmondi,Dhanmondi,"""keari nirjhor,residential area,dhanmondi"""
basundhara r/a,Bashundhara,"""the nail door,block g,basundhara r/a"""
sector 13,Uttara,"""ibn sina diagonistic & consultation,uttara(building 3),sector 13"""
uttara,Uttara,"""nandan sunrise,sector 7,uttara"""
uttara,Uttara,"""sweet dream,h 34,rd 5,sector 5,uttara"""
uttara,Uttara,"""house 16,road 7,sector 5,uttara"""
malibagh,Malibagh,"""dom inno citadel,rajarbagh,malibagh"""
basundhara r/a,Bashundhara,"""rd 2,block b,basundhara r/a"""
gulshan,Gulshan,"""white smile denistry,gulshan 1,gulshan"""
mohakhali,Mohakhali,"""rahima,tb gate rd,mohakhali"""
fakirapool,Fakirapool,"""seagul the dining entertainment,h 116,culvert rd,fakirapool"""
agargaon,Agargaon,"""taltola d type quarte jame masjid,bnp bazar rd,agargaon"""
basundhara r/a,Bashundhara,"""hermitage,h 295,rd 12,block a,basundhara r/a"""
basundhara r/a,Bashundhara,"""eastern bank limited atm,block d,basundhara r/a"""
gulshan,Gulshan,"""standard chartered bank , gulshan 1 , gulshan"""
bashundhara r/a,Bashundhara R/A,"""momen monzil , 527 , road no. 17 , bashundhara r/a"""
mirpur,Mirpur,"""jui care beauty parlour , section 6 , mirpur"""
west dhanmondi,Dhanmondi,"""silicon holdings kimited,modhu bazar,west dhanmondi"""
sector 2,Purbachal,"""employees parkingh , new airport road kurmitola , sector 2"""
gulshan,Gulshan,"""track innovative technology , road 91, gulshan 2, gulshan"""
mohammadpur,Mohammadpur,"""h 10/1 , sir sayed rd , mohammadpur"""
sector 2,Purbachal,"""6, road 1 sector 1 , kurmitola , sector 2"""
bangladesh,Agargaon,"""army golf club , bishwa road , dhaka , bangladesh"""
gulshan,Gulshan,"""banglalink digital communications ltd , gulshan 1, gulshan"""
mohammadpur,Mohammadpur,"""monir general store , shyamoli , mohammadpur"""
gulshan 1,Gulshan,"""sports zone ltd , h 5 , bir uttam ak khandakar rd , gulshan 1"""
agargaon,Agargaon,"""bangladesh election commission bhaban , agargaon"""
gulshan,Gulshan,"""holiday villa gram , gulshan 1 , gulshan"""
bashundhara r/a,Bashundhara R/A,"""burgerossa , ever care hospital exit gate , bashundhara r/a"""
gulshan,Gulshan,"""palma group of industries , palmal tower , gulshan avenue , gulshan 1 , gulshan"""
mohakhali,Mohakhali,"""transcom digital industries , eastern rd , mohakhali"""
gulshan,Gulshan,"""tru group , road 8 , gulshan 1 , gulshan"""
khilgaon,Khilgaon,"""arabian general store,riajbagh,khilgaon"""
uttara,Uttara,"""10/2 dream lodge (eashovon) , sector 4 , uttara"""
gulshan,Gulshan,"""mutual trust bank limited , gulshan 2 , gulshan"""
gulshan,Gulshan,"""22, road 2 , dakkhin badda , gulshan"""
bashundhara r/a,Bashundhara R/A,"""road no, 12 , block c, bashundhara r/a"""
uttara,Uttara,"""1st cup coffee business outlet , road 2 , sector 3, uttara"""
gulshan 1,Gulshan,"""chittagong grammar school , rd 24 , gulshan 1"""
mohammadpur,Mohammadpur,"""momotaj shopping complex , chad uddan  housing , mohammadpur"""
gulshan,Gulshan,"""grameen bus stop , gulshan 2 , gulshan"""
gulshan,Gulshan,"""new airport road , mohakhali , gulshan"""
sector 2,Purbachal,"""mutual trust bank , airport road kurmitola , sector 2"""
dhanmondi,Dhanmondi,"""premier bank limited ( atm ) , dhanmondi 9a , satmasjid road , dhanmondi"""
mohammadpur,Mohammadpur,"""orphange , tajmahal rd , mohammadpur"""
mohammadpur,Mohammadpur,"""southern international immigration to canada , h 10/28, tajmahal rd , mohammadpur"""
mohammadpur,Mohammadpur,"""mh digital bangladesh , rayer bazar , mohammadpur"""
bashundhara r/a,Bashundhara R/A,"""531, magic bricks , f block rania avenue , block i , bashundhara r/a"""
mohammadpur,Mohammadpur,"""bangladesh eye hospital extension wing , zafrabad , mohammadpur"""
banani,Banani,"""new vision solutions ltd , block f , banani"""
mohakhali,Mohakhali,"""alice's visa and immigration service , house b-313 , road 21 , mohakhali dohs , mohakhali"""
gulshan 1,Gulshan,"""14, road 3 , block e , gulshan 1"""
basundhara r/a,Bashundhara,"""house 300 , nsu driveway , block b , basundhara r/a"""
dhanmondi,Dhanmondi,"""labaid specialized hospital , 6 , road 4 , dhanmondi"""
uttara,Uttara,"""ruap playground , sector 18 , uttara"""
dhanmondi,Dhanmondi,"""maxell kaisaree flats , residential area , dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""b block , block e , bashundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""rd 10 , block f , bashundhara r/a"""
kalabagan,Kalabagan,"""abed manzil , h 115 , crescent rd , kalabagan"""
bashundhara r/a,Bashundhara R/A,"""ebl 365 plus , block a , bashundhara r/a"""
dhanmondi,Dhanmondi,"""bashati castle , residential area , dhanmondi"""
uttara,Uttara,"""lucky purbachal limited , gareeb e newaz avenue , sector 13 , uttara"""
bashundhara r/a,Bashundhara R/A,"""primrose palace , house 287, road 6b , block b , bashundhara r/a"""
basundhara r/a,Bashundhara,"""vector lab , rd 10 , block i , basundhara r/a"""
dhanmondi,Dhanmondi,"""american burger satmasjid road outlet , west , dhanmondi"""
basundhara r/a,Bashundhara,"""rd 8 , block h , basundhara r/a"""
dhanmondi,Dhanmondi,"""technoworth associates ltd , (tmd), dhaka central road , dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""zahan monjil , block h , bashundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""herfy , block i , bashundhara r/a"""
khilgaon,Khilgaon,"""oppo office company shop , taltola , khilgaon"""
kuril,Kuril,"""kuril flyover , kuril"""
basundhara r/a,Bashundhara,"""h 297, rd 9 , block d , basundhara r/a"""
sector 13,Uttara,"""uttara kitchen , sector 13"""
kuril,Kuril,"""hall 3 , purbachal expreess highway , kuril"""
banani,Banani,"""preha , h 26 , rd 18 , banani"""
mohammadpur,Mohammadpur,"""chadpur auto parts,chadmia housing,mohammadpur"""
uttara,Uttara,"""rd 11,sector 9,uttara"""
mohammadpur,Mohammadpur,"""nha garden city shyamoli,building 5,mohammadpur"""
banani,Banani,"""first security islami bank limited,road 6 ,kemal ataturk avenue,banani"""
uttara,Uttara,"""ruyap khelar math , sector 18 , uttara"""
uttara,Uttara,"""house 49 ,road 14 , sector 3 , uttara"""
kuril,Kuril,"""kuril gas filing station , kuril flyover, kuril"""
uttara,Uttara,"""house 49 , road 14,  sector 3 , uttara"""
uttara,Uttara,"""zia general store , sector 13 , uttara"""
basundhara r/a,Bashundhara,"""121,d block 7 no road, basundhara r/a"""
mirpur,Mirpur,"""psychologist mahin,section 13,mirpur"""
dhanmondi,Dhanmondi,"""bangladesh medical college hospital,rd 14,sankar,dhanmondi"""
basundhara r/a,Bashundhara,"""assort,h 55,rd 9,block b,basundhara r/a"""
banani,Banani,"""transmission compound,btcl colony,banani"""
pallabi,Pallabi,"""rd 2,block b,arifabad r/a,rupnagar,pallabi"""
dhanmondi,Dhanmondi,"""super tangail chomchom sweets,residential area,dhanmondi"""
sector 2,Purbachal,"""rest room,airport road,new aiport road,kurmitola,sector 2"""
dhanmondi,Dhanmondi,"""08,4th west & street,dhanmondi"""
basundhara r/a,Bashundhara,"""mst. mahmuda villa,house 59,block b,road no 8,block b,basundhara r/a"""
uttara,Uttara,"""mr baker,h 18,sonargaon,janapath,sector 13,uttara"""
mohammadpur,Mohammadpur,"""maa villa,bosila garden city,mohammadpur"""
uttara,Uttara,"""world mission 21 ltd,road 07,sector 04,uttara"""
mohammadpur,Mohammadpur,"""green fuel cng and lpg conversion center / green fuel technologies ltd , adabar , mohammadpur"""
bashundhara r/a,Bashundhara R/A,"""zerina homes , 549 , block f, road 17 , bashundhara r/a"""
motijheel,Motijheel,"""dhakaiya kacchi , karim chamber , motijheel"""
dhanmondi,Dhanmondi,"""dalim jori house, moneshwar road , dhanmondi"""
bangladesh,Agargaon,"""jamtola , narayanganj, bangladesh"""
mohammadpur,Mohammadpur,"""rose garden , road 4a , nobodoy housing , mohammadpur"""
mirpur,Mirpur,"""diganta , rupnagar residential area , mirpur"""
dhanmondi,Dhanmondi,"""chowdhury community center , h 42, rd 6/a , dhanmondi"""
dhanmondi,Dhanmondi,"""colony building 126 , bjri colony road , dhanmondi"""
gulshan 1,Gulshan,"""silkways group , h 25 , rd 4 , gulshan 1"""
gulshan,Gulshan,"""east west university , a/2, jahrul islam avenue , gulshan"""
mohammadpur,Mohammadpur,"""xoom , shyamoli , mohammadpur"""
banani,Banani,"""navision navi world limited , block g , banani"""
gulshan,Gulshan,"""lakewood residency , gulshan 1, gulshan"""
gulshan,Gulshan,"""north end coffee roasters lk tower 2 , gulshan 1 , gulshan"""
east rayer bazar,Rayer Bazar,"""dhalai karkhana link rd , east rayer bazar"""
mirpur dohs,Mirpur,"""bloom edu-care consulting firm, mirpur dohs"""
dhanmondi,Dhanmondi,"""miraz kashfi , residential area , dhanmondi"""
uttara,Uttara,"""nagomi a japanese esthetic salan , sector 11 , uttara"""
mohammadpur,Mohammadpur,"""avenue dental care 4/4, satmasjid road , mohammadpur"""
tikatuli,Tikatuli,"""omi lives here , chaya bithi'r goli , tikatuli"""
basundhara r/a,Bashundhara,"""registar , block b , road no. 8 , block b , basundhara r/a"""
dhanmondi,Dhanmondi,"""nerdy bean coffee haus , road 2 , dhanmondi"""
banani,Banani,"""h 23 , rd 28 , banani"""
gopibag,Gopibagh,"""meyor mohammad sayed khokon center , distilary road , gopibag"""
dhanmondi,Dhanmondi,"""rd 30 , dhanmondi"""
mohammadpur,Mohammadpur,"""h 11b , rd 1 , mohammadi housing society , mohammadpur"""
mohammadpur,Mohammadpur,"""saida villa , 6/1 a , zakir hossain road , mohammadpur"""
mohammadpur,Mohammadpur,"""amin store , zafrabad  , mohammadpur"""
mohammadpur,Mohammadpur,"""bikroy, com , h 15/13 , hazi  chinu mia  rd , mohammadpur"""
dhanmondi,Dhanmondi,"""labanga,residential area,dhanmondi"""
dhanmondi,Dhanmondi,"""puspita shimanto , residential area , dhanmondi"""
mohammadpur,Mohammadpur,"""bahan , katasur , mohammadpur"""
mohammadpur,Mohammadpur,"""maa pharmacy,zafrabad,mohammadpur"""
tikatuli,Tikatuli,"""comilla boutique house , chaya bithi'e goli , tikatuli"""
bashundhara r/a,Bashundhara R/A,"""house-602 , block g , bashundhara r/a"""
mohammadpur,Mohammadpur,"""wavespace,ui/ux design agency katasur,mohammadpur"""
dhanmondi,Dhanmondi,"""garden house,h 69,noprth rdd,dhanmondi"""
banani,Banani,"""dessert boutique by nadia lakhani,road 10a,block h,banani"""
sector 2,Purbachal,"""international terminal,new airport road,kurmitola,sector 2"""
west dhanmondi,Dhanmondi,"""hatembag rd,west dhanmondi"""
mirpur 2,Mirpur,"""tip top mart ltd,atm,block d,mirpur 2"""
dhanmondi,Dhanmondi,"""hr pool,residential area,dhanmondi"""
niketon,Niketon,"""kolahall communication,block g,niketon"""
mohammadpur,Mohammadpur,"""10/14,block c,tajmahal road,mohammadpur"""
mohammadpur,Mohammadpur,"""mohd. masum a b departmental store,chandmiya housing, mohammadpur"""
uttara,Uttara,"""planten agro ltd , road-05 , sector-13 , uttara"""
west dhanmondi,Dhanmondi,"""house 271/48/a,niribili housing,shankar,west dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""fridays fast food & restaurant,bashundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""plan,house 180,block b,road 4,block b,bashundhara r/a"""
dhanmondi,Dhanmondi,"""shahjalal islami bank ltd , mirpur road , dhanmondi"""
mohammadpur,Mohammadpur,"""mohammadpur tb diagnostic center , dhaka ( brac ) , nobodoy housing , mohammadpur"""
uttara,Uttara,"""qubella , sector 9 , uttara"""
uttara,Uttara,"""vintaged bridal culture , sector 5 , uttara"""
matikata,Matikata,"""matikata bazar rd , matikata"""
bashundhara r/a,Bashundhara R/A,"""h 806, rd 21 , block g, bashundhara r/a"""
mohammadpur,Mohammadpur,"""h 71/1 , rd 5 , pc culture housing society , mohammadpur"""
uttara,Uttara,"""jaba niloy , house 5f/7f , road 11, sector 3 , uttara"""
mohammadpur,Mohammadpur,"""m/s emon enterprise , bosila , mohammadpur"""
dhanmondi,Dhanmondi,"""raunat fashion , residential area , dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""beverly homes , 99, d block 6 no road , block d, bashundhara r/a"""
mirpur dohs,Mirpur,"""allahr dan hotel and biriyani house , mirpur dohs"""
dhanmondi,Dhanmondi,"""liberty chemical company , residential area , dhanmondi"""
gulshan,Gulshan,"""living rahman,house 12,road 7,gulshan 1,gulshan"""
basundhara r/a,Bashundhara,"""laila & sagars,home,block c, basundhara r/a"""
banani,Banani,"""ghafur-riz garden,h 96,rd 23,banani"""
banani,Banani,"""hotel blue sky,block h,banani"""
dhanmondi,Dhanmondi,"""haji decoration,34,mirpur road,dhanmondi"""
paltan,Paltan,"""rizia niloy,97,jomidar goli,wireless,paltan"""
gulshan,Gulshan,"""lawyer in gulshan banani baridhara,gulshan 2,gulshan"""
uttara,Uttara,"""nazia home,sector 6,uttara"""
motijheel,Motijheel,"""h d 6,outer circular rd,agb colony,motijheel"""
west dhanmondi,Dhanmondi,"""road view cafe roasterss-dhanmondi,west dhanmondi"""
gulshan,Gulshan,"""gloria jeans coffee,road 71,gulshan 2,gulshan"""
khilgaon,Khilgaon,"""apon cofee house,h 381/b,shahid baki sarak,taltola,khilgaon"""
gulshan 1,Gulshan,"""md saiful alom,h 5,rd 2,gulshan 1"""
nikunja 2,Nikunja,"""downtown cafe,nikunja 2"""
mohammadpur,Mohammadpur,"""h 46,rd 4,pc culture housing society,mohammadpur"""
gulshan,Gulshan,"""the h hotel,gulshan 2,gulshan"""
section 12,Mirpur,"""5, road 3, section 12"""
matikata,Matikata,"""ecb chattar bus stop,mirpur dohs link rd,matikata"""
mirpur,Mirpur,"""masfi enterprize,eastern housing,mirpur"""
dhanmondi,Dhanmondi,"""paragon , momo, road 16 , dhanmondi"""
malibagh,Malibagh,"""gold crest,h 171,doctor goli,malibagh"""
uttara,Uttara,"""jakir general store,naya nagar,uttara"""
gulshan,Gulshan,"""road 24,dakkhin badda,gulshan"""
dhanmondi,Dhanmondi,"""president glory arcadia,4/2,road 4,dhanmondi"""
kalabagan,Kalabagan,"""maa electric & hardware,h 150,abed dhali rd,kalabagan"""
mirpur,Mirpur,"""pallabi 2nd phase,(eastern housing),mirpur"""
mirpur,Mirpur,"""gcl assesssment services ltd,gcl international,dohs,mirpur"""
mirpur dohs,Mirpur,"""hidoks elevator bangladesh(supplier support centre),mirpur dohs"""
mirpur,Mirpur,"""harshiter khabar hotel,dhaka,kallyanpur,mirpur"""
khilgaon,Khilgaon,"""hazi ma hamid,h 423/1,rd 45b,taltola,khilgaon"""
mohammadpur,Mohammadpur,"""das agro health ltd , chadrima model town , mohammadpur"""
uttara,Uttara,"""khalpart , rd 17 , sector 12 , uttara"""
mirpur 2,Mirpur,"""bangladesh institure of bank management,janata housing rd,shah ali bag,mirpur 2"""
mohammadpur,Mohammadpur,"""suchona community center, ring rd , mohammadpur"""
uttara,Uttara,"""college of aviation,technology,h 14,rd 2,sector 11,uttara"""
gulshan 1,Gulshan,"""hungry fast food , h 9 , 113 a , gulshan 1"""
basundhara r/a,Bashundhara,"""house 283 , road no. 1 , block b , basundhara r/a"""
basundhara r/a,Bashundhara,"""rd 11 , block f , basundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""house 215 , road 2 , block k , bashundhara r/a"""
uttara,Uttara,"""house 50 . road 10 , sector 10 , uttara"""
mohakhali,Mohakhali,"""ag agro ondustries ltd , wireless gate , mohakhali"""
banani,Banani,"""anwar landmark whistling woods , block a , banani"""
mohammadpur,Mohammadpur,"""h 116,rd 5,mohammadi society,mohammadpur"""
uttara,Uttara,"""md. liton ali home , sector 11 , uttara"""
mohammadpur,Mohammadpur,"""iqbal hossain catering service , rd 6/a, nobodoy  housing society , mohammadpur"""
niketon,Niketon,"""prime raiyan , block b , niketon"""
uttara,Uttara,"""priyanka city , uttara"""
malibagh,Malibagh,"""maa moni ladies tailor's mouchak market , malibagh"""
malibagh,Malibagh,"""trisha general store , 12 , outer circular road , shantibagh , malibagh"""
mohammadpur,Mohammadpur,"""29/5, block b  , babor road , mohammadpur"""
dhanmondi,Dhanmondi,"""sk & associates , residential area , dhanmondi"""
dhanmondi,Dhanmondi,"""jaish trade international , residential area , dhanmondi"""
