location,coordinates,latitude,longitude,grid_label
"UTTARA ADHUNIK MEDICAL COLLEGE.H 4,SONARGAON JANAPATH,SECTOR 13,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"BHAI BHAI HARDWARE & PAINT,ZIRABO TO BISHMAIL RD,RUSTAMPUR,ASHULIA,1342","(24.9145279, 66.9603017)",24.9145279,66.9603017,
"MARIYA STORE , SARULIA , DEMRA","(23.70992, 90.45456)",23.70992,90.45456,R5C12
"392/1 , 60 FEET , MUKTI HOUSING , DOKKHIN MONIPUR","(23.47172, 91.0612)",23.47172,91.0612,
"SOUTH KAFRUL JAME MASJID , SOUTH KAFRUL RD , SOUTH KAFRUL","(23.78822, 90.37359)",23.78822,90.37359,R14C4
"NEW ESKATON RD , NEW  ESKATON","(23.7472032, 90.3991858)",23.7472032,90.3991858,R9C7
"SAMORITA HOSPITAL,PANTHAPATH","(23.7523917, 90.3853287)",23.7523917,90.3853287,R10C5
"HOMES 28 , H 99 , MOHAMMADI HOUSING SOCIETY , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"SHAHJAHAN RD , MOHAMMADPUR","(23.7646318, 90.3653633)",23.7646318,90.3653633,R11C3
"FARUK GENERAL STORE,H 8/15,RD 1,BLOCK C,LALMATIA","(24.43374, 88.45688)",24.43374,88.45688,
ROSHNI BOUTIQUES AND LADIES TAILORS MONESHWAR ROAD DHANMONDI,"(23.74, 90.385)",23.74,90.385,R8C5
"ZAM ZAM CONVENTION HALL MUKTOBANGLA SHOPPING COMPLEX , MIRPUR 1","(23.805, 90.366)",23.805,90.366,R16C3
"BANGLA NEWSPAPER , MONESHWAR RD , HAZARIBAG","(23.66603, 90.44659)",23.66603,90.44659,R0C11
"SOMALI VILLA , H 146/1 , WAPDA RD , WEST RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,R11C9
"THE WESTIN,DHAKA,RD 45,GULSHAN 2","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"SULTANA MANZIL , H 35 RD 10 MERUL BADDA","(24.34671, 90.00523)",24.34671,90.00523,
"MOHAMMADPUR TOWN HALL MARKET , ASAD AVE , MOHAMMADPUR","(23.7599623, 90.3661778)",23.7599623,90.3661778,R11C3
ISLAM PHARMA,"(23.7516649, 90.3617035)",23.7516649,90.3617035,R10C3
"DINE A CHAAP,ROAD 16/A,GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"THE ARISTOCRAT LOUNGE,WEST DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"RD 14 , SWECTOR 11 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"GOLCHOTTOR HOUSE,DOHS,MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"RANGS NIKETON , ROAD 9 , BLOCK C , NIKETON , GULSHAN , DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"PRIYANKA CITY OFFICE,HOUSE 19,ROAD 8,PRIYANKA CITY,12,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"SANKAR BUSSTOP,SAT MASJID RD,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"SONY CINEMA HALL CIRCLE , MAIN RD. MIRPUR 1","(23.805, 90.366)",23.805,90.366,R16C3
