location,coordinates,latitude,longitude,geometry,grid_label
"GLAMY GIRL , BANANI DOHS","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"M/S IFAT FRUIT AGENCY,ISLAMPUR,SADARGHAT","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"north end coffee roasters , progati sarani , gulshan 2","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"TRUST BANK,ELEPHANT RD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"19/A/19,BLOCK F,BIZLY MOHOLLA ROAD.,TIKKAPARA,MOHAMMADPUR","(23.7697137, 90.3597021)",23.7697137,90.3597021,POINT (90.3597021 23.7697137),R20C21
"AICHI HOSPITAL , ABDULLAH ATIPARA RD , SECTOR 8 , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
square hospital ltd panthapath,"(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DHAKA CHITTAGONG HIGHWAY,SHONIR AKHRA","(23.7167713, 90.4202821)",23.7167713,90.4202821,POINT (90.4202821 23.716771299999998),R19C22
"LAVENDER , H A 3/4 , NORTH SOUTH RD , BLOCK A , BANASHREE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SHAHEED TAZUDDIN AVENUE , MOHAKHALI , GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"H 128,RD 12,BLOCK G,BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"RD 1, SECTOR 12 , UTTARA","(23.8705821, 90.3832883)",23.8705821,90.3832883,POINT (90.3832883 23.870582099999993),R23C22
"GABTOLI PRANTIK SUPER MARKET GABTOLI COW HUT , DARUSSALAM , MIRPUR","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"MOMINUL MAMAR HASH CHAPTI,SECTOR 12,PURBACHAL","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"BAVS PRODHAN KARJALOY , MIRPUR MODEL THANA , MI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ROSHMELA SWEETS , SHAHJADPUR , BADDA","(24.34671, 90.00523)",24.34671,90.00523,POINT (90.00523 24.346710000000005),R33C14
"BASHABO PLAYGROUND , MODDHO BASHABO, SHAHJAHANPUR","(21.9128, 90.73626)",21.9128,90.73626,POINT (90.73626 21.912799999999994),R-21C28
"H KA , 42 , SHAHID FAZIUL HAQUE RD , , NADDA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"TALTOLA MARKET  , TALTOLA MARKET RD , TALTOLA  , KHILGAON","(23.7521147, 90.4240381)",23.7521147,90.4240381,POINT (90.4240381 23.7521147),R20C22
"KUBA MOSJID , ROAD NO. 4 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR","(23.7606011, 90.3571807)",23.7606011,90.3571807,POINT (90.3571807 23.760601100000002),R20C21
"THREE STAR , H 141/1 , R K MISSION RD , GOPIBAG","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"AMERICAN CLUB AREA,ROAD 7,GULSHAN 2,GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"ROAD 6 , DHANMONDI R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"RANGDHUNU OFFICER'S MESS DHAKA NIRJHAR RESIDENTIAL AREA , BHASHANTEK","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SYED GROUP,KAKRAIL,SEGUN BAGICHA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
PATURIA FERRY GHAT,"(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"AFTABNAGAR , DHAKA , BANGLADESH","(24.16667, 90.41667)",24.16667,90.41667,POINT (90.41667 24.16667),R29C22
"TSC AUDITORIUM , SHAHBAG RD , TSC","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"NORI,BLOCK C,BANAN","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"NANNA BIRIYANI , TIKATULI , WARI","(23.71667, 90.41667)",23.71667,90.41667,POINT (90.41667 23.716669999999997),R19C22
"PINEWOOD: CAFE+KITCHEN DHANMONDI , ROAD-6 , GREEN ROAFD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"MILK VITA RD,MIRPUR 6","(23.8142732, 90.3621497)",23.8142732,90.3621497,POINT (90.3621497 23.8142732),R21C21
"EBRAHIM STEEL HOSUE AND LASER CUTTING , EAST NURERCHALA , SHAHJADPUR","(23.79191, 90.42498)",23.79191,90.42498,POINT (90.42498 23.79191),R21C23
"NUR FASHION , SHAH ALI BAG , MIRPUR 1","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"20/3,ROAD NO 1,MOHAMMADI HOUSING LIMITED,MOHAMMADPUR","(23.7613115, 90.3535406)",23.7613115,90.3535406,POINT (90.3535406 23.7613115),R20C21
"PINK BEAUTY SALOON , GULSHAN 1, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"ADVANCE POLICE TOWN , DHAKA ARICHA HIGHWAY  1347","(24.3137, 89.6089)",24.3137,89.6089,POINT (89.60890000000002 24.313700000000004),R33C6
"THE GROUNDS CAFEW , 146/2, NEW BAILY ROAD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"MIRPUR RD,MIDDLE PAIKPARA,MIRPUR 1","(23.7962891, 90.3530603)",23.7962891,90.3530603,POINT (90.3530603 23.796289099999996),R21C21
"H 961, PARTY HOUSE RD , RAJARBAG , MALIBAG","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"RIDGE CREST , H 266 , RD 8 , BLOCK D , BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , NEW AIRPORT ROAD , KURMITOLA , SECTOR 2","(33.36074, 44.44738)",33.36074,44.44738,POINT (44.44738 33.36074000000002),R489C-863
"TIPTOP POLICE CANTEEN , ROAD 8 , SECTOR 10 ,UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"HOTEL AND CATERING INSTITUTE BANGLADESH , RESIDENTIAL AREA , DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"HOUSE SUILDING BUS STOP , SECTOR 6 , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"SQUARE HOSPITAL  LTD , PANTHAPATH RD , KALABAGAN","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SAYED NAZRUL ISLAM NATIONAL SWIMMING COMPLEX, MAIN RD, MIRPUR 10","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
