location,area
"""FERDAUSI FASHION, SECTOR 9, UTTARA""",Uttara
"""APOLLO HOSPITAL BASEMENT MASJID, H 81, STS AVE, BLOCK E, BASHUNDHARA R/A""",Bashundhara
"""H 49, RD 12, NIKUNJA 2""",Nikunja
"""HOUSE 66, ROAD 2, BLOCK A, NIKETAN, GULSHAN""",Niketan
"""NATIONAL HEART FOUNDATION (WOMAN & CHILD CARDIAC UNIT), TOLARBAG 1st LANE, DHAKA""",Mirpur
"""H 42, RD 12, PC CULTURE HOUSING, ADABOR""",Adabor
"""HOLY FAMILY RED CRESCENT MEDICAL COLLEGE HOSPITAL, H 1, ESKATON GARDEN RD, OLD ESKATON""",Eskaton
"""DEWAN CO, 109, DIT ROAD, MALIBAGH RAIL GATE, MALIBAGH""",Malibagh
"""H 8/A, RD 12, MOHAMMADI HOUSING SOCIETY, MOHAMMADPUR""",Mohammadpur
"""BLOCK I, BASHUNDHARA R/A""",Bashundhara
"""SHELTECH SHAFIQUE'S TOWER 28, ROAD 15A, DHANMONDI R/A""",Dhanmondi
"""SHIKDER BARI, EASTERN HOUSING, GOLDEN STREET, SHYAMOLI, MOHAMMADPUR""",Mohammadpur
"""FVL RAMISA, HOUSE 6/A, ROAD 7, MOHAMMADPUR HOUSING LIMITED, MOHAMMADPUR""",Mohammadpur
"""SOFIA GARDEN 666 & 667, BLOCK F, ROAD 21, BASHUNDHARA R/A""",Bashundhara
"""SARA PIZZA (BANASREE-E), BLOCK E, H 381/2""",Banasree
"""SHILPI HOTEL GOLI, SHAHIDBAG, MALIBAG""",Malibagh
"""JAPAN GARDEN CITY, BUILDING 19, FLAT 701, MOHAMMADPUR""",Mohammadpur
"""NAMIRA KITCHEN, H 1102, MIRPUR RD 14, KACHUKHET""",Mirpur
"""BONAYON.COM LANDSCAPING & INDOOR-OUTDOOR PLANTS, MIRPUR CANTONMENT""",Mirpur
"""APEX, ROAD 27 (NEW 16), DHANMONDI R/A""",Dhanmondi
"""BISMILLAH, 06, ROAD 1, BLOCK D, BASHUNDHARA R/A""",Bashundhara
"""SUB LOVER'S, OINK CITY, GULSHAN-2""",Gulshan
"""BANGLADESH SPECIALIZED HOSPITAL, MIRPUR RD, SHYAMOLI""",Shyamoli
